Time,Speed,Occu,Label
14420,67.108068,2,?
14440,77.050004,0.5,?
14460,67.729439,3.5,?
14480,61.515729,2.5,?
14500,73.321778,0.5,?
14520,63.379842,2,?
14540,71.457665,2.5,?
14560,72.079036,1,?
14620,76.428633,0.5,?
14640,63.379842,2,?
14660,62.1371,0.5,?
14720,65.865326,0.5,?
14760,70.214923,2,?
14780,68.972181,1.5,?
14820,68.35081,3,?
14920,75.185891,0.5,?
14980,76.428633,0.5,?
15000,77.671375,0.5,?
15060,64.001213,0.5,?
15120,73.0110925,1,?
15160,65.865326,0.5,?
15180,70.214923,3,?
15220,75.185891,0.5,?
15240,76.428633,0.5,?
15280,65.865326,0.5,?
15300,80.77823,0.5,?
15320,75.185891,1,?
15380,70.836294,0.5,?
15420,67.108068,1.5,?
15500,71.457665,1,?
15620,68.972181,0.5,?
15640,66.486697,0.5,?
15700,69.80067567,3,?
15820,72.700407,0.5,?
15860,73.321778,0.5,?
15880,64.622584,2.5,?
15900,70.214923,0.5,?
15940,67.4187535,2.5,?
15980,67.729439,0.5,?
16020,70.214923,1,?
16040,66.486697,0.5,?
16060,72.079036,0.5,?
16080,70.214923,2.5,?
16100,65.865326,0.5,?
16140,73.943149,1,?
16160,73.321778,0.5,?
16180,72.700407,0.5,?
16200,68.35081,0.5,?
16220,62.758471,1.5,?
16280,72.700407,1,?
16300,74.56452,0.5,?
16320,77.671375,0.5,?
16340,64.001213,0.5,?
16360,76.1179475,1,?
16380,71.457665,0.5,?
16460,66.486697,2,?
16520,68.972181,0.5,?
16540,75.807262,0.5,?
16560,75.807262,0.5,?
16580,73.321778,0.5,?
16600,70.836294,1,?
16620,60.894358,0.5,?
16640,70.836294,0.5,?
16660,69.9042375,1,?
16700,72.28615967,1.5,?
16720,64.001213,2,?
16740,70.836294,0.5,?
16760,61.30860533,1.5,?
16780,75.185891,0.5,?
16820,67.729439,1,?
16840,73.943149,0.5,?
16860,73.943149,0.5,?
16900,59.030245,2,?
16920,65.5546405,1,?
16960,70.214923,0.5,?
16980,71.457665,1,?
17000,71.457665,1,?
17020,67.108068,1.5,?
17040,69.593552,1,?
17060,72.700407,0.5,?
17100,70.214923,0.5,?
17120,70.214923,0.5,?
17160,72.3897215,0.5,?
17180,64.001213,0.5,?
17200,86.370569,0.5,?
17220,86.370569,0.5,?
17240,69.593552,0.5,?
17260,73.6324635,1,?
17280,67.108068,0.5,?
17300,72.079036,0.5,?
17320,66.1760115,2.5,?
17340,64.001213,2.5,?
17380,73.321778,0.5,?
17420,76.63575667,1.5,?
17440,69.593552,0.5,?
17460,69.593552,0.5,?
17480,76.428633,0.5,?
17500,76.428633,0.5,?
17520,65.865326,2.5,?
17540,73.321778,1,?
17560,69.593552,0.5,?
17600,68.35081,0.5,?
17620,70.836294,2.5,?
17640,70.836294,2.5,?
17660,75.4965765,1.5,?
17680,76.63575667,1.5,?
17700,72.700407,0.5,?
17720,71.04341767,3,?
17740,73.943149,0.5,?
17760,74.56452,2,?
17780,70.214923,1.5,?
17800,70.214923,1.5,?
17820,70.214923,1,?
17860,73.943149,1.5,?
17960,70.836294,2,?
18000,72.079036,1,?
18020,70.214923,1.5,?
18040,65.865326,0,?
18060,64.001213,3,?
18080,75.807262,0.5,?
18120,68.35081,0.5,?
18140,78.914117,0.5,?
18180,73.943149,1,?
18220,70.214923,2,?
18260,69.593552,1,?
18300,74.56452,1,?
18320,72.700407,0.5,?
18360,67.729439,1,?
18380,77.671375,0.5,?
18400,70.836294,1,?
18460,73.943149,0.5,?
18480,68.35081,2.5,?
